stacjo_id,student_id,st_pyt1,st_pyt2,st_pyt3,st_pyt4,st_pyt5,st_pyt6,st_pyt7,st_pyt8,st_pyt9,st_pyt10,st_pyt11,st_pyt12,st_pyt13,st_pyt14,st_pyt15,st_pyt16,st_pyt17,st_pyt18,st_pyt19,st_pyt20,st_pyt21,st_pyt22
29,29,Tak,4,2,4,3,2,5,5,3,4,2,3,4,4,3,4,4,2,4,4,2,3
30,30,Tak,4,2,5,4,4,4,4,5,5,3,4,4,4,4,5,4,4,4,4,2,4
31,31,Tak,3,4,4,3,2,4,2,3,2,3,2,2,1,1,4,2,2,1,4,2,4
32,32,Nie ma to dla mnie znaczenia,2,2,3,2,2,5,5,5,3,2,4,2,3,3,5,2,2,3,3,1,3
33,33,Tak,3,2,3,3,4,4,5,4,3,2,2,3,4,5,5,4,3,3,3,2,3
34,34,Tak,4,3,5,3,3,5,4,5,5,3,5,5,5,4,3,4,5,3,4,2,5
35,35,Tak,3,2,4,4,4,5,5,5,4,2,3,3,2,4,5,4,4,4,3,2,3
36,36,Nie ma to dla mnie znaczenia,3,3,5,4,5,5,5,5,5,3,4,5,3,4,4,5,5,4,4,1,4
37,37,Tak,3,3,4,4,4,4,4,4,4,3,4,5,4,4,4,5,5,5,5,1,5
38,38,Tak,1,2,5,3,5,5,5,5,2,1,5,5,3,5,5,5,5,5,5,1,3
39,39,Tak,3,3,5,3,5,5,5,5,5,3,5,5,3,5,4,5,5,5,5,2,3
40,40,Nie,2,3,2,1,4,4,5,5,2,2,3,2,5,5,4,4,4,1,5,1,5
41,41,Nie ma to dla mnie znaczenia,4,3,3,4,2,3,4,4,4,4,5,4,4,4,3,5,4,4,3,2,3
42,42,Tak,3,2,4,4,3,3,4,3,4,3,4,3,4,4,5,4,4,4,4,1,3
43,43,Nie ma to dla mnie znaczenia,3,2,3,5,5,3,4,4,2,3,5,3,3,1,3,2,3,4,4,1,4
44,44,Tak,3,3,5,4,2,4,5,4,4,3,5,4,4,4,5,4,5,4,4,2,5
45,45,Tak,3,3,5,4,3,4,3,2,4,3,4,4,5,5,4,4,4,4,5,2,4
46,46,Nie,2,1,2,1,2,2,1,2,1,4,5,3,2,2,5,2,2,1,3,2,2
47,47,Tak,4,2,4,3,2,5,5,5,4,2,5,4,3,3,5,4,4,5,5,2,2
48,48,Nie,4,3,3,3,3,3,4,2,3,2,3,3,3,1,5,3,3,2,3,2,3
49,49,Tak,4,3,4,4,2,4,3,3,3,4,4,4,4,3,4,3,4,4,3,2,4
50,50,Nie,5,2,2,2,1,2,3,2,2,2,3,4,3,5,2,3,4,4,1,2,2
51,51,Nie ma to dla mnie znaczenia,4,2,4,4,3,4,4,4,3,2,3,4,3,3,4,3,3,4,4,2,3
52,52,Nie ma to dla mnie znaczenia,3,5,4,4,3,5,5,5,1,1,4,2,5,2,5,3,3,1,4,1,3
53,53,Nie ma to dla mnie znaczenia,4,2,4,3,3,4,4,2,3,4,3,4,2,1,2,4,4,4,4,2,3
54,54,Nie ma to dla mnie znaczenia,2,3,4,4,5,5,3,4,4,4,4,4,3,4,2,5,4,3,3,2,4
55,55,Nie ma to dla mnie znaczenia,3,3,4,3,2,4,4,4,3,5,3,4,4,4,3,3,3,3,4,2,3
56,56,Tak,2,3,3,3,2,4,4,3,3,2,2,4,4,4,5,4,3,3,4,1,2
57,57,Tak,4,3,5,3,1,5,5,1,5,3,4,4,4,4,2,4,3,2,5,2,3
58,58,Tak,5,3,5,4,4,5,5,5,5,5,5,5,3,4,4,4,5,4,4,2,5
59,59,Tak,3,3,3,3,3,4,3,3,4,3,3,3,4,4,4,4,3,3,4,1,3
60,60,Nie,3,2,4,5,1,5,5,5,3,5,3,3,4,2,5,4,5,5,4,1,4
61,61,Nie,1,1,3,1,5,3,3,3,1,1,1,3,5,5,5,1,3,1,5,2,3
62,62,Nie ma to dla mnie znaczenia,1,3,3,5,2,1,2,3,1,3,3,3,2,1,5,1,4,2,3,2,5
63,63,Nie,3,3,3,1,2,4,5,4,1,3,1,2,4,4,3,3,4,3,3,2,3
64,64,Nie,2,3,4,4,1,4,4,4,3,2,3,5,2,2,5,3,5,4,3,2,4
65,65,Nie,3,3,4,4,3,5,5,5,3,3,3,3,3,3,5,3,2,2,3,2,3
66,66,Nie,5,1,1,1,3,1,1,1,1,1,1,1,5,5,1,1,3,2,2,1,1
67,67,Nie ma to dla mnie znaczenia,2,2,3,4,4,4,4,4,4,3,3,4,5,3,4,4,3,4,3,1,3
68,68,Nie ma to dla mnie znaczenia,4,3,3,3,3,4,3,4,1,2,3,2,3,3,5,2,3,2,2,2,2
69,69,Tak,4,2,5,4,4,4,4,4,4,5,3,5,4,5,2,4,4,4,4,2,3
70,70,Nie,4,2,4,3,2,5,5,5,3,2,2,3,3,2,4,3,4,3,4,1,3
71,71,Nie ma to dla mnie znaczenia,2,3,3,3,2,4,3,5,3,4,3,3,3,2,4,4,4,3,3,1,3
72,72,Nie,5,2,5,5,5,5,5,5,5,4,4,4,3,4,5,4,3,3,4,1,5
73,73,Tak,3,2,3,4,2,4,4,4,3,3,4,3,5,2,5,4,4,3,4,1,5
74,74,Tak,5,2,5,5,4,4,5,4,4,5,4,4,3,2,4,5,4,4,5,2,4
75,75,Nie,2,1,3,2,5,2,2,2,3,1,3,3,2,4,4,2,3,2,2,2,4
76,76,Tak,3,2,4,3,4,4,4,4,3,2,3,3,5,4,2,4,5,4,4,2,4
77,77,Nie ma to dla mnie znaczenia,4,3,5,4,5,4,4,1,3,4,3,3,3,2,3,3,3,3,3,1,3
78,78,Nie ma to dla mnie znaczenia,5,2,3,1,4,3,2,3,2,2,3,3,4,4,5,3,3,2,3,2,3
79,79,Nie,3,4,3,5,1,3,3,4,1,2,3,3,2,2,3,3,3,3,3,2,2
80,80,Tak,3,2,4,4,1,1,2,5,1,2,3,4,3,4,5,2,3,3,4,2,4
81,81,Nie,3,2,4,2,2,3,5,3,4,2,2,3,2,4,5,3,4,4,4,2,3
82,82,Tak,3,2,5,4,4,5,5,5,4,3,5,4,4,4,5,5,5,5,4,2,4
83,83,Nie,1,2,2,3,3,1,3,5,2,3,4,4,2,3,5,2,4,4,2,2,4
84,84,Tak,2,3,5,4,2,3,3,4,3,4,4,4,5,5,5,5,5,3,5,2,4
85,85,Tak,1,3,4,1,3,4,4,4,4,4,4,4,2,3,3,4,3,4,3,1,5
86,86,Nie,2,3,4,5,2,4,3,4,2,1,4,4,5,5,4,3,5,4,5,1,2
87,87,Tak,5,2,3,3,2,4,5,2,3,3,5,3,4,2,2,3,2,3,4,2,4
88,88,Tak,5,2,5,5,4,4,4,2,4,5,5,5,5,5,2,5,5,5,5,1,5
89,89,Nie ma to dla mnie znaczenia,4,2,4,1,1,4,5,5,2,4,3,3,2,1,5,3,5,5,4,2,3
90,90,Tak,3,3,5,1,4,5,5,5,4,2,2,4,5,5,5,5,5,5,5,1,5
91,91,Nie,1,3,3,3,3,3,5,5,2,1,3,3,3,4,5,3,3,2,2,1,3
92,92,Tak,5,2,3,3,3,4,4,3,5,5,4,5,4,3,5,5,5,5,5,1,2
93,93,Tak,3,3,5,4,5,5,4,5,4,2,5,4,4,5,5,4,4,5,4,2,2
94,94,Tak,2,3,5,4,4,4,2,4,3,3,4,4,2,4,4,4,5,4,3,2,5
95,95,Tak,1,3,4,2,2,4,4,5,2,3,1,4,4,4,4,3,3,3,3,2,4
96,96,Nie,5,5,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
97,97,Tak,3,2,5,4,3,5,5,5,3,3,4,4,4,4,4,4,5,4,4,2,5
98,98,Tak,3,2,5,5,4,4,4,3,4,3,4,4,4,5,4,5,5,5,3,1,3
99,99,Nie,4,2,3,2,1,3,3,4,2,4,3,2,4,4,5,3,3,3,4,1,4
100,100,Tak,2,2,4,4,4,4,4,4,4,2,3,4,4,3,5,4,4,5,4,2,3
101,101,Nie ma to dla mnie znaczenia,1,2,4,3,5,4,5,5,4,2,2,4,3,3,5,2,3,4,3,2,5
102,102,Nie ma to dla mnie znaczenia,2,2,3,3,1,2,2,1,4,4,3,3,2,1,5,1,4,1,2,2,3
103,103,Nie ma to dla mnie znaczenia,2,4,4,4,2,3,4,4,5,2,4,4,5,4,5,4,5,5,4,2,2
104,104,Tak,1,2,5,4,2,5,5,1,5,1,5,5,5,5,5,5,5,3,3,1,1
105,105,Nie,2,2,5,3,3,4,5,4,3,2,2,2,5,5,5,4,5,4,5,2,3
106,106,Tak,3,3,4,3,3,4,4,5,4,3,4,4,3,3,4,5,4,3,4,2,3
107,107,Tak,5,2,5,4,2,4,4,4,5,4,5,4,5,5,3,5,4,4,5,2,5
108,108,Nie,5,2,1,1,4,1,2,5,1,5,2,5,4,4,3,1,1,1,2,1,4
109,109,Nie ma to dla mnie znaczenia,2,2,5,5,5,5,5,5,5,2,4,5,4,4,4,5,5,5,5,1,5
110,110,Nie,3,2,5,3,1,5,5,2,5,5,4,4,5,3,4,4,4,3,5,2,5
111,111,Tak,3,2,5,4,3,4,3,4,4,4,5,4,5,4,4,4,5,5,5,2,5
112,112,Tak,3,2,4,4,4,5,5,1,5,2,4,5,4,4,2,5,4,4,4,2,5
113,113,Tak,3,3,4,5,5,5,5,5,4,3,5,4,3,3,5,4,4,5,4,1,5
114,114,Nie,1,4,3,3,3,3,5,2,2,1,1,3,5,2,4,3,5,4,4,2,2
115,115,Nie,4,2,4,3,3,4,4,4,3,2,5,3,3,2,5,4,5,5,4,1,4
116,116,Tak,5,2,5,5,4,5,4,1,4,4,5,5,3,3,4,4,5,5,4,2,5
117,117,Nie ma to dla mnie znaczenia,3,3,5,3,3,5,4,5,3,5,3,4,4,2,2,4,5,4,4,2,5
118,118,Nie ma to dla mnie znaczenia,2,2,4,4,3,5,5,5,4,3,3,4,4,4,2,4,4,5,4,2,4
119,119,Nie,1,1,3,3,1,2,3,3,1,1,2,2,5,4,5,2,3,1,3,1,3
120,120,Tak,4,5,3,4,3,4,5,4,4,5,4,4,2,3,3,4,5,5,4,1,4
121,121,Tak,4,2,4,4,4,5,5,5,4,4,5,3,4,4,5,5,5,5,5,2,4
122,122,Tak,3,3,5,2,4,4,5,4,4,2,4,3,1,1,1,3,5,4,4,1,4
123,123,Nie,4,1,4,2,2,4,4,2,3,3,3,3,3,3,4,4,3,3,4,2,3
124,124,Tak,3,5,4,4,4,5,5,5,5,3,5,5,5,5,4,5,5,5,5,2,5
125,125,Nie ma to dla mnie znaczenia,4,2,4,2,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,2,4
126,126,Tak,1,3,4,5,3,5,4,5,4,3,5,4,4,2,3,4,4,4,5,2,4
127,127,Tak,3,2,4,3,4,4,3,3,5,4,5,4,4,4,1,5,4,4,4,2,4
128,128,Nie,2,2,4,3,3,4,4,4,3,2,3,3,3,3,2,3,5,3,4,2,4
129,129,Nie,1,2,2,1,5,3,3,3,3,5,1,3,5,5,1,3,1,1,3,2,1
130,130,Tak,4,1,4,3,3,4,4,4,4,1,3,3,4,2,4,4,4,2,4,2,2
131,131,Nie ma to dla mnie znaczenia,1,2,5,3,3,4,4,4,2,1,4,3,5,3,5,5,5,4,4,2,3
132,132,Nie,2,3,4,1,3,5,4,3,3,2,3,4,5,4,4,4,5,4,5,2,4
133,133,Tak,2,3,3,5,4,4,2,5,3,3,3,3,4,2,5,3,4,4,3,2,4
134,134,Tak,3,2,4,3,5,5,5,5,4,2,4,4,4,4,5,4,3,4,4,1,4
135,135,Tak,5,1,4,4,5,2,5,4,3,1,3,3,5,5,3,2,2,2,2,2,2
136,136,Tak,2,1,4,3,3,3,3,3,3,3,4,3,4,4,5,4,4,4,4,1,4
137,137,Nie ma to dla mnie znaczenia,2,3,3,2,3,4,3,4,3,4,3,3,2,2,4,3,3,4,4,2,4
138,138,Nie,1,2,3,2,1,5,1,1,1,2,1,2,4,3,3,1,3,1,4,2,1
139,139,Nie,1,1,3,1,3,2,1,4,3,2,2,2,2,2,3,5,5,3,5,2,3
140,140,Nie,1,2,4,3,1,3,3,3,3,2,5,4,3,3,5,2,3,2,3,2,2
141,141,Nie,2,3,3,1,1,3,3,3,3,2,2,2,1,1,5,2,3,1,3,2,2
142,142,Tak,4,2,5,3,2,5,4,5,4,5,5,5,5,4,4,4,5,5,5,2,5
143,143,Nie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
144,144,Nie,1,2,3,2,3,4,3,4,3,5,2,3,4,4,3,3,3,2,4,2,2
145,145,Nie,4,4,3,3,2,4,4,3,2,4,3,3,3,4,2,3,4,3,3,2,1
146,146,Nie ma to dla mnie znaczenia,1,4,2,1,2,2,3,3,3,1,3,2,5,4,3,4,2,4,3,1,2
147,147,Tak,2,3,4,4,2,2,2,2,2,3,2,3,4,5,2,4,5,4,4,2,4
148,148,Tak,4,5,4,4,3,4,4,3,5,4,4,5,3,3,4,5,5,5,3,2,5
149,149,Nie,2,4,3,3,2,3,3,3,3,3,2,3,2,3,5,2,3,3,3,2,3
150,150,Tak,3,3,4,4,3,4,5,4,4,4,4,4,2,4,3,4,4,5,3,2,3
151,151,Tak,5,2,4,5,4,5,4,4,5,3,5,4,4,4,3,4,4,4,4,2,5
152,152,Nie ma to dla mnie znaczenia,2,4,5,2,2,5,5,5,3,3,3,4,2,3,5,4,5,3,4,2,3
153,153,Tak,4,2,4,4,2,4,4,4,2,3,5,4,5,5,5,2,4,2,4,2,4
154,154,Nie,4,2,4,3,3,4,4,4,3,4,4,3,5,2,5,3,2,3,4,1,3
155,155,Nie,2,2,4,1,3,2,2,4,2,2,3,3,5,5,4,4,5,3,3,2,3
156,156,Nie,4,2,3,3,3,3,3,3,1,1,1,1,5,3,3,2,3,2,2,2,1
157,157,Tak,3,2,4,3,4,5,5,3,5,3,5,4,3,3,5,4,2,5,5,2,4
158,158,Nie,1,1,3,1,2,3,3,3,1,1,1,3,3,3,3,3,3,1,4,2,2
159,159,Nie,4,4,4,2,3,4,4,2,2,4,2,3,5,3,3,4,4,2,4,2,2
160,160,Tak,4,3,5,4,4,5,5,5,5,5,5,5,5,4,4,5,4,5,3,2,4
161,161,Nie,1,2,3,3,1,5,4,5,4,1,2,4,4,1,4,3,4,3,5,2,3
162,162,Nie ma to dla mnie znaczenia,3,4,4,4,2,5,4,5,3,3,5,4,4,4,5,4,5,3,5,2,3
163,163,Tak,2,3,4,5,5,3,4,4,4,3,4,4,4,4,2,4,3,2,3,1,5
164,164,Nie,5,2,2,1,1,3,2,3,2,2,1,4,2,2,5,3,4,3,3,2,3
165,165,Tak,5,2,5,4,4,5,5,5,5,4,4,4,5,5,5,4,4,4,4,1,3
166,166,Tak,3,5,5,5,2,5,5,5,5,3,3,2,4,1,5,4,4,5,4,2,4
167,167,Tak,4,2,3,3,4,5,5,5,5,5,5,4,4,4,3,4,5,5,4,2,5
168,168,Nie,1,2,4,2,1,3,3,3,3,1,4,4,4,4,3,3,4,3,3,1,3
169,169,Tak,3,4,4,3,3,4,4,4,4,3,3,4,3,3,4,4,4,3,2,2,3
170,170,Nie,3,2,4,4,3,4,5,5,3,2,5,4,5,5,4,4,4,4,4,2,4
171,171,Nie ma to dla mnie znaczenia,2,2,4,4,3,5,5,5,4,3,4,4,3,3,5,4,4,4,4,2,4
172,172,Tak,3,2,5,4,4,4,4,2,5,5,5,5,5,5,5,5,5,4,4,1,4
173,173,Tak,3,2,5,5,4,5,5,5,5,5,4,5,5,3,5,5,5,5,4,2,5
174,174,Tak,5,3,5,5,4,5,4,3,5,3,5,5,3,3,3,5,5,5,4,1,5
175,175,Nie,3,4,5,4,3,5,5,1,4,3,4,3,5,5,4,4,5,5,4,2,4
176,176,Nie,1,2,5,4,1,5,5,1,3,5,3,4,1,1,5,4,2,3,3,2,3
177,177,Tak,3,2,4,1,3,4,4,5,3,3,2,4,3,4,5,3,4,3,3,2,4
178,178,Nie,1,2,3,2,1,4,4,4,2,2,2,3,3,2,4,3,3,3,4,2,2
179,179,Tak,3,2,3,2,3,4,4,3,4,4,3,3,4,4,5,3,4,3,3,2,3
180,180,Nie,5,2,2,2,3,4,4,4,2,5,2,2,3,2,4,2,2,2,3,2,2
181,181,Nie,3,3,4,4,1,1,1,1,1,3,1,3,2,4,5,1,3,1,1,2,1
182,182,Nie,5,2,4,2,1,1,1,1,1,1,1,2,2,2,3,1,3,1,2,2,5
183,183,Tak,3,2,4,3,4,5,4,5,4,3,3,3,5,1,5,5,5,5,5,2,3
184,184,Nie ma to dla mnie znaczenia,3,4,3,3,3,4,4,2,4,1,4,4,3,3,2,3,5,5,4,1,4
185,185,Tak,4,3,4,2,2,3,4,4,3,2,2,3,3,3,1,3,4,4,4,2,4
186,186,Nie ma to dla mnie znaczenia,4,2,2,4,3,5,5,5,4,3,3,3,4,3,3,3,3,4,3,2,3
187,187,Nie,4,2,4,3,3,5,5,5,5,3,4,3,4,4,3,4,4,4,5,1,2
188,188,Tak,3,2,3,3,3,3,4,2,4,3,4,4,2,2,5,3,3,3,4,2,3
189,189,Nie ma to dla mnie znaczenia,3,3,2,3,4,2,4,2,3,4,3,2,1,3,4,3,2,3,3,2,3
190,190,Nie ma to dla mnie znaczenia,1,3,5,4,2,5,5,5,3,2,5,5,3,1,4,4,4,4,4,1,3
191,191,Tak,3,2,4,5,3,4,5,4,5,3,5,4,5,5,2,5,5,4,5,2,4
192,192,Tak,3,3,4,3,3,5,5,5,4,4,3,4,4,4,5,4,4,4,4,2,4
193,193,Nie,1,2,3,1,2,3,5,3,1,1,3,4,3,3,5,1,3,1,3,2,4
194,194,Tak,3,2,5,4,3,5,5,5,4,4,4,4,5,3,4,5,5,5,5,1,5
195,195,Tak,3,3,5,5,5,4,5,5,4,4,4,5,5,5,4,4,4,4,5,1,5
196,196,Nie,2,2,2,2,2,2,2,2,1,1,2,5,3,3,2,3,2,2,2,2,1
197,197,Tak,3,2,4,3,2,3,4,2,4,3,5,4,5,3,3,5,5,4,5,2,4
198,198,Tak,2,2,3,4,3,4,4,4,4,2,4,4,3,3,4,4,3,4,4,2,3
199,199,Nie ma to dla mnie znaczenia,4,2,3,3,1,3,3,4,3,4,4,3,4,4,4,4,4,4,3,2,3
200,200,Nie ma to dla mnie znaczenia,2,4,4,4,2,3,4,3,3,2,4,4,3,3,4,3,4,3,3,2,3
201,201,Nie ma to dla mnie znaczenia,3,2,5,5,3,3,3,4,4,4,4,5,3,5,5,4,4,4,4,2,3
202,202,Nie,1,2,3,4,2,4,5,3,2,2,2,4,2,3,2,3,4,4,2,1,2
203,203,Tak,3,2,4,4,4,3,4,5,4,5,4,4,5,5,4,4,5,4,4,2,4
204,204,Nie ma to dla mnie znaczenia,4,3,4,4,4,5,5,1,4,3,4,4,3,3,5,4,4,3,4,2,4
205,205,Nie,1,3,4,2,3,3,3,3,3,2,2,2,4,4,4,3,4,4,4,1,3
206,206,Nie ma to dla mnie znaczenia,2,2,3,2,3,4,4,4,4,2,5,4,4,4,4,4,4,4,4,2,2
207,207,Tak,4,2,5,3,3,5,5,5,4,4,4,4,3,2,3,4,5,5,5,2,4
208,208,Tak,4,2,5,5,3,5,5,5,5,5,5,5,3,3,2,5,5,5,5,2,5
209,209,Nie ma to dla mnie znaczenia,2,4,3,2,3,4,4,4,3,3,3,3,4,2,3,4,4,3,3,2,3
210,210,Nie,2,2,4,1,2,4,4,2,2,4,4,3,5,2,2,1,4,2,5,2,4
211,211,Nie ma to dla mnie znaczenia,1,2,4,3,2,4,4,4,3,3,3,3,4,4,5,4,4,3,4,2,5
212,212,Tak,4,2,5,3,5,5,5,5,4,3,4,4,5,3,5,4,5,5,5,1,3
213,213,Tak,3,3,4,4,4,5,5,5,4,5,4,3,4,3,3,4,4,4,5,1,4
214,214,Nie ma to dla mnie znaczenia,1,2,4,3,3,5,5,1,4,5,4,4,4,3,3,4,4,4,5,1,4
215,215,Nie ma to dla mnie znaczenia,5,1,3,4,4,5,5,1,5,5,5,5,4,4,5,3,3,5,3,2,4
216,216,Tak,4,5,5,5,4,4,4,5,5,5,5,5,5,2,3,5,5,5,5,1,4
217,217,Tak,3,3,4,3,3,4,4,3,3,3,4,3,3,2,3,3,4,3,3,2,3
218,218,Tak,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5
219,219,Nie,2,2,3,3,2,4,3,4,2,2,3,3,3,3,3,3,4,2,3,2,3
220,220,Tak,3,2,4,4,5,5,5,5,5,3,4,5,5,3,5,4,4,4,5,1,3
221,221,Tak,5,1,4,4,3,5,5,5,4,5,3,4,3,2,4,5,4,4,5,2,4
222,222,Nie ma to dla mnie znaczenia,4,2,4,2,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,2,4
223,223,Nie,2,2,4,3,3,2,2,2,2,4,2,3,3,4,5,4,4,4,3,2,3
224,224,Nie,5,2,5,4,5,5,5,5,5,3,5,5,5,3,1,4,5,5,5,2,5
225,225,Tak,4,2,5,5,3,4,5,4,4,3,4,5,3,3,5,4,5,4,4,2,4
226,226,Nie ma to dla mnie znaczenia,1,2,3,3,2,2,2,3,2,1,3,3,3,3,3,3,3,2,3,2,3
227,227,Tak,2,3,4,4,5,4,4,4,4,3,4,3,2,2,4,4,4,4,5,2,3
228,228,Nie,2,3,3,5,2,5,5,5,4,2,4,4,4,5,2,4,4,4,5,2,4
229,229,Nie,1,2,4,3,3,5,2,2,2,1,4,3,4,2,3,2,4,2,3,2,4
230,230,Tak,2,3,4,2,3,4,4,4,2,2,4,3,4,4,3,4,4,4,4,2,3
231,231,Nie,3,2,4,3,1,4,3,2,3,2,3,3,4,2,3,2,3,3,4,2,3
232,232,Tak,2,4,4,4,3,4,3,5,2,2,5,3,2,4,5,5,5,5,5,2,3
233,233,Tak,3,5,5,4,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,2,4
234,234,Tak,3,3,4,4,3,5,5,4,5,4,5,3,3,3,3,4,5,5,3,2,3
235,235,Tak,3,2,2,4,3,3,1,2,4,4,3,4,3,5,5,4,5,5,5,2,4
236,236,Tak,5,2,5,5,2,5,5,5,5,5,5,5,2,2,5,5,5,5,5,2,5
237,237,Nie ma to dla mnie znaczenia,3,2,4,2,4,5,5,4,4,3,4,4,3,4,3,4,4,2,4,2,4
238,238,Nie ma to dla mnie znaczenia,2,2,4,2,2,5,4,4,4,2,2,3,5,2,2,4,3,5,5,2,4
239,239,Tak,3,2,4,3,4,5,5,3,5,3,5,4,3,3,5,4,2,5,5,2,4
240,240,Tak,4,2,3,2,4,4,4,4,4,4,4,4,5,2,4,4,5,4,4,1,3
241,241,Nie,3,2,3,4,3,3,3,3,2,1,3,3,4,3,2,2,3,3,3,2,2
242,242,Nie,3,2,3,2,4,5,5,5,5,4,3,3,5,2,4,4,4,3,5,1,3
243,243,Nie,2,2,4,4,3,3,4,3,2,2,3,4,3,3,4,4,4,3,4,2,3
244,244,Nie ma to dla mnie znaczenia,3,2,4,3,3,4,4,4,4,4,3,4,4,4,5,4,4,4,4,2,3
245,245,Tak,3,3,5,5,2,4,5,2,5,3,4,5,3,3,5,4,5,5,4,2,4
246,246,Nie ma to dla mnie znaczenia,2,2,4,3,2,3,3,4,2,2,2,4,2,2,4,4,2,4,3,2,3
247,247,Nie ma to dla mnie znaczenia,1,2,3,5,2,3,3,4,2,1,3,2,5,3,5,2,4,1,4,2,2
248,248,Nie,3,3,5,3,3,5,5,5,4,3,5,5,4,4,4,5,5,5,4,2,4
249,249,Nie,4,2,2,2,2,3,3,3,1,5,1,2,3,3,2,2,2,2,3,2,2
250,250,Nie ma to dla mnie znaczenia,5,3,4,3,2,4,4,3,4,4,5,5,3,3,5,5,5,5,5,2,3
251,251,Nie,2,2,3,2,3,2,1,2,2,1,3,4,1,1,3,3,4,3,2,2,3
252,252,Nie ma to dla mnie znaczenia,2,2,3,2,1,4,5,2,3,4,3,4,3,2,5,3,4,3,4,2,3
253,253,Tak,2,4,3,2,3,5,5,5,4,2,3,3,3,4,4,3,3,3,5,2,3
254,254,Nie,1,3,3,2,1,3,3,2,2,2,3,3,1,1,4,2,3,4,2,2,3
255,255,Tak,4,2,5,4,4,2,2,5,4,5,4,4,4,4,5,5,5,5,4,1,4
256,256,Tak,5,2,3,4,4,4,4,4,5,4,4,3,2,2,5,2,3,3,4,2,5
257,257,Nie,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,3,3,3,3,2,3
258,258,Nie,1,1,4,3,2,2,2,2,1,3,4,3,3,3,4,3,3,2,4,1,4
259,259,Nie,2,4,4,3,2,2,3,4,5,1,4,4,3,3,2,5,5,4,1,2,2
